year,university,school,degree,Key,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,gross_monthly_mean.1,gross_monthly_median.1,gross_mthly_25_percentile.1,gross_mthly_75_percentile.1
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),40,93.3,88.9,2740,2700,2922,2700,2700,3018,2922,2700,2700,3018
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),41,97.2,94.4,3065,2800,3143,2800,2700,3200,3143,2800,2700,3200
2013,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),42,88.9,77.8,3350,3000,3377,3050,2825,3425,3377,3050,2825,3425
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,43,na,na,na,na,na,na,na,na,na,na,na,na
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,44,na,na,na,na,na,na,na,na,na,na,na,na
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),45,92.4,83.3,3933,3400,3953,3425,3000,4000,3953,3425,3000,4000
2013,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),46,88.9,83.3,3277,3050,3320,3080,2800,3553,3320,3080,2800,3553
2014,Nanyang Technological University,College of Engineering,Aerospace Engineering,47,84.6,82.7,3715,3700,3911,3770,3300,4070,3911,3770,3300,4070
2013,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),48,89.2,83.9,3266,3000,3322,3005,3000,3800,3322,3005,3000,3800
2013,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,49,100,100,4106,4000,4106,4000,4000,4400,4106,4000,4000,4400
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) ** #,50,na,na,na,na,na,na,na,na,na,na,na,na
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),51,82.1,53.6,3007,2650,3023,2650,2400,3000,3023,2650,2400,3000
2013,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),52,96.8,96.8,2961,2980,3025,3000,2800,3200,3025,3000,2800,3200
2013,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),53,89.2,89.2,2839,2800,2988,2900,2600,3179,2988,2900,2600,3179
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Bioengineering),54,74,60,2823,3000,3068,3000,2720,3250,3068,3000,2720,3250
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),55,93.2,90,3245,3000,3359,3175,3000,3644,3359,3175,3000,3644
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),56,96.1,94.1,3140,3000,3154,3050,3000,3300,3154,3050,3000,3300
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),57,88.9,85.6,3592,3200,3653,3200,3000,3970,3653,3200,3000,3970
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),58,88.5,88,3286,3100,3334,3200,3000,3600,3334,3200,3000,3600
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),59,86.2,75.9,2940,3000,2960,3000,2800,3150,2960,3000,2800,3150
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),60,93.8,87.5,3153,3100,3208,3110,3000,3500,3208,3110,3000,3500
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),61,93.9,92.4,3330,3200,3397,3200,3000,3800,3397,3200,3000,3800
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),62,90.9,87.9,3036,3000,3169,3000,3000,3260,3169,3000,3000,3260
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),63,89.1,87.2,3155,3000,3319,3225,3000,3500,3319,3225,3000,3500
2013,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,64,98.8,98.2,4922,4800,5099,5000,4500,5800,5099,5000,4500,5800
2013,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS) #,65,100,100,4406,4500,4741,4500,4500,5200,4741,4500,4500,5200
2013,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),66,97.5,97.5,2687,2750,2886,2950,2700,3050,2886,2950,2700,3050
2013,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),67,100,100,2896,3000,3042,3025,3000,3200,3042,3025,3000,3200
2013,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,68,na,na,na,na,na,na,na,na,na,na,na,na
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,69,na,na,na,na,na,na,na,na,na,na,na,na
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),70,97.3,97.3,2850,2750,2925,2900,2600,3255,2925,2900,2600,3255
2013,National University of Singapore,Faculty of Science,Bachelor of Science,71,80.9,65.1,2726,2700,2804,2800,2600,3000,2804,2800,2600,3000
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),72,83.6,74,3101,3000,3217,3100,2868,3500,3217,3100,2868,3500
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,73,na,na,na,na,na,na,na,na,na,na,na,na
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,74,96.4,96.4,3473,3500,3540,3500,3350,3750,3540,3500,3350,3750
2013,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-years programme),75,94.2,93.2,3231,2800,3342,2825,2700,3430,3342,2825,2700,3430
2013,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-years programme) Cum Laude and above,76,95.2,95.2,3580,2900,3634,3000,2700,3750,3634,3000,2700,3750
2013,Singapore Management University,School of Business (4-year programme) *,Business Management (4-years programme),77,93.2,87.3,3344,3000,3520,3200,2800,3750,3520,3200,2800,3750
2013,Singapore Management University,School of Business (4-year programme) *,Business Management (4-years programme) Cum Laude and above,78,95.9,93.8,3825,3500,3975,3580,3000,4100,3975,3580,3000,4100
2013,Singapore Management University,School of Economics (4-year programme) *,Economics (4-years programme),79,90.6,88.6,3389,3200,3513,3339,3000,3800,3513,3339,3000,3800
2013,Singapore Management University,School of Economics (4-year programme) *,Economics (4-years programme) Cum Laude and above,80,94,94,3731,3500,3820,3600,3250,4000,3820,3600,3250,4000
2013,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-years programme),81,93.6,89.5,3389,3300,3468,3300,3000,3800,3468,3300,3000,3800
2013,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-years programme) Cum Laude and above,82,100,90.9,3786,3725,3862,3800,3500,4000,3862,3800,3500,4000
2013,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-years programme),83,86.5,79.8,3122,3000,3150,3000,2600,3320,3150,3000,2600,3320
2013,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-years programme) Cum Laude and above,84,87.5,83.3,3251,3200,3267,3200,2800,3781,3267,3200,2800,3781
2013,Singapore Management University,School of Law (4-year programme) *,Law (4-years programme) #,85,100,100,5023,4800,5246,5000,4500,6000,5246,5000,4500,6000
2013,Singapore Management University,School of Law (4-year programme) *,Law (4-years programme) Cum Laude and above #,86,100,100,5329,5000,5617,5547,4750,6400,5617,5547,4750,6400
2014,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,87,98.2,95.6,3539,3300,3597,3300,2900,4000,3597,3300,2900,4000
2014,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),88,96.6,96.1,2981,2800,3003,2840,2700,3000,3003,2840,2700,3000
2014,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),89,89.6,80.2,3231,3000,3318,3100,2800,3600,3318,3100,2800,3600
2014,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,90,92.9,89.3,3398,3400,3431,3450,3232,4000,3431,3450,3232,4000
2014,Nanyang Technological University,College of Engineering,Bioengineering,91,79.8,69.7,2998,3000,3188,3000,2825,3400,3188,3000,2825,3400
2014,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,92,83.8,76.1,3296,3250,3415,3400,3200,3575,3415,3400,3200,3575
2014,Nanyang Technological University,College of Engineering,Computer Engineering,93,91.4,88.8,3423,3300,3512,3400,3200,3800,3512,3400,3200,3800
2014,Nanyang Technological University,College of Engineering,Civil Engineering,94,93.8,92.9,3122,3000,3152,3100,3000,3300,3152,3100,3000,3300
2014,Nanyang Technological University,College of Engineering,Computer Science,95,94.5,93.7,3269,3200,3304,3200,3000,3700,3304,3200,3000,3700
2014,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,96,90.7,88.4,3241,3175,3336,3200,3000,3500,3336,3200,3000,3500
2014,Nanyang Technological University,College of Engineering,Environmental Engineering,97,88.9,82.2,3121,3000,3111,3000,3000,3500,3111,3000,3000,3500
2014,Nanyang Technological University,College of Engineering,Information Engineering and Media,98,85.7,73.2,3185,3000,3318,3200,3000,3600,3318,3200,3000,3600
2014,Nanyang Technological University,College of Engineering,Materials Engineering,99,82.5,77.7,3145,3000,3261,3150,3000,3410,3261,3150,3000,3410
2014,Nanyang Technological University,College of Engineering,Mechanical Engineering,100,90.2,87.8,3161,3000,3289,3100,3000,3500,3289,3100,3000,3500
2014,Nanyang Technological University,College of Engineering,Maritime Studies,101,92.5,92.5,3163,3050,3206,3050,3000,3500,3206,3050,3000,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",102,80,68,2761,2600,2791,2700,2300,3000,2791,2700,2300,3000
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,103,86.8,75.8,2927,3000,3006,3000,2700,3300,3006,3000,2700,3300
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,104,86.7,77.9,2891,2800,2976,3000,2600,3294,2976,3000,2600,3294
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,105,88.7,78.4,3183,3075,3222,3200,3000,3500,3222,3200,3000,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,106,87,63,3137,3000,3432,3100,2800,3990,3432,3100,2800,3990
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,107,85.7,66.7,3066,3000,3148,3230,2800,3500,3148,3230,2800,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,108,66.7,54.9,3197,3100,3228,3100,2800,3500,3228,3100,2800,3500
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,109,73.2,67.9,3002,3000,3143,3100,2800,3260,3143,3100,2800,3260
2014,Nanyang Technological University,College of Sciences,Biomedical Science **,110,na,na,na,na,na,na,na,na,na,na,na,na
2014,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,111,100,100,2974,2900,3018,2900,2786,3400,3018,2900,2786,3400
2014,Nanyang Technological University,College of Sciences,Biological Sciences,112,75.1,60.8,3083,3000,3174,3000,2800,3400,3174,3000,2800,3400
2014,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,113,80.5,68.3,3006,3000,3321,3100,2800,3400,3321,3100,2800,3400
2014,Nanyang Technological University,College of Sciences,Mathematics & Economics,114,88.4,87,3155,3200,3142,3200,2800,3500,3142,3200,2800,3500
2014,Nanyang Technological University,College of Sciences,Mathematical Science,115,91.3,79.7,3022,3000,3078,3200,2800,3300,3078,3200,2800,3300
2014,Nanyang Technological University,College of Sciences,Physics / Applied Physics,116,73.7,63.2,3034,3000,3241,3100,2800,3560,3241,3100,2800,3560
2014,Nanyang Technological University,College of Sciences,Sports Science and Management,117,87.9,69.7,3076,2800,3229,3000,2700,3590,3229,3000,2700,3590
2014,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),118,100,100,3358,3400,3475,3475,3400,3750,3475,3475,3400,3750
2014,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),119,100,100,3388,3400,3536,3475,3400,3700,3536,3475,3400,3700
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,120,81.9,65.3,2719,2750,2883,2800,2500,3010,2883,2800,2500,3010
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),121,83.1,76.6,3141,3210,3277,3300,3000,3600,3277,3300,3000,3600
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,122,88.7,80.1,3192,3200,3304,3250,3000,3600,3304,3250,3000,3600
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration,123,87.9,83.6,3234,3000,3367,3000,2800,3300,3367,3000,2800,3300
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),124,94.4,90.6,3979,3500,4090,3520,3200,4300,4090,3520,3200,4300
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),125,93.9,89.8,2836,2800,2989,2838,2700,3000,2989,2838,2700,3000
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),126,100,96.3,3350,2850,3407,2912,2800,3614,3407,2912,2800,3614
2014,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),127,82.1,82.1,3107,3000,3129,3088,2900,3300,3129,3088,2900,3300
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,128,na,na,na,na,na,na,na,na,na,na,na,na
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,129,na,na,na,na,na,na,na,na,na,na,na,na
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),130,90.6,85.9,3729,3500,3712,3500,3300,4000,3712,3500,3300,4000
2014,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),131,85.7,85.7,3183,3000,3386,3200,3000,3500,3386,3200,3000,3500
2014,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),132,95.5,92,3684,3352,3789,3500,3100,4039,3789,3500,3100,4039
2014,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,133,100,100,4054,4000,4054,4000,4000,4020,4054,4000,4000,4020
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,134,98.4,95.2,4290,4200,4400,4275,4000,4750,4400,4275,4000,4750
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),135,77.3,59.1,2600,2550,2603,2565,2200,3000,2603,2565,2200,3000
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),136,95.3,94.1,3089,3000,3181,3000,2900,3360,3181,3000,2900,3360
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),137,93.1,89.2,2931,2950,3108,3000,2750,3300,3108,3000,2750,3300
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering) ^^,138,87.5,77.1,2966,3000,3058,3000,2700,3300,3058,3000,2700,3300
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),139,83.9,76.4,3277,3200,3434,3300,3000,3650,3434,3300,3000,3650
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),140,97.1,97.1,3212,3200,3281,3208,3000,3500,3281,3208,3000,3500
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),141,95.2,92.4,3674,3500,3762,3500,3200,4080,3762,3500,3200,4080
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),142,90.6,88.1,3306,3200,3571,3300,3000,3800,3571,3300,3000,3800
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),143,81.3,62.5,3375,3300,3465,3400,3275,3790,3465,3400,3275,3790
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),144,95.2,92.9,3250,3200,3215,3230,3000,3422,3215,3230,3000,3422
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),145,96.5,96.5,3591,3350,3719,3600,3200,4000,3719,3600,3200,4000
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),146,78.6,73.8,3054,3100,3350,3300,3000,3600,3350,3300,3000,3600
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),147,90,88.5,3160,3100,3323,3200,3000,3500,3323,3200,3000,3500
2014,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,148,98.2,97.6,5027,5000,5247,5150,4800,5800,5247,5150,4800,5800
2014,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,149,100,100,4404,4500,4886,5000,4500,5200,4886,5000,4500,5200
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),150,100,95.6,2976,3000,3188,3200,3050,3386,3188,3200,3050,3386
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),151,100,100,3123,3270,3353,3500,3270,3600,3353,3500,3270,3600
2014,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,152,na,na,na,na,na,na,na,na,na,na,na,na
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,153,na,na,na,na,na,na,na,na,na,na,na,na
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),154,95.5,81.8,2760,2750,2831,2800,2600,3000,2831,2800,2600,3000
2014,National University of Singapore,Faculty of Science,Bachelor of Science,155,76.8,61.4,2804,2800,2973,3000,2700,3200,2973,3000,2700,3200
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),156,86.6,75.8,3224,3200,3328,3210,2950,3600,3328,3210,2950,3600
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,157,na,na,na,na,na,na,na,na,na,na,na,na
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,158,98.9,96.7,3467,3500,3670,3630,3470,4000,3670,3630,3470,4000
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme),159,93.6,91.4,3375,2850,3420,2875,2722,3614,3420,2875,2722,3614
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme) Cum Laude and above,160,97.4,96.1,3871,3450,3903,3500,2875,4300,3903,3500,2875,4300
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme),161,90.9,86.4,3630,3250,3752,3333,3000,4000,3752,3333,3000,4000
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme) Cum Laude and above,162,94.5,94,4019,3500,4116,3600,3200,4500,4116,3600,3200,4500
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme),163,90.2,83.9,3525,3500,3645,3500,3175,4000,3645,3500,3175,4000
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme) Cum Laude and above,164,90.6,89.1,3815,3800,3824,3800,3300,4350,3824,3800,3300,4350
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme),165,92.9,80.6,3431,3225,3530,3350,3000,4000,3530,3350,3000,4000
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme) Cum Laude and above,166,97.4,84.2,4057,4000,4151,4050,3500,4540,4151,4050,3500,4540
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme),167,90.9,84.1,2981,3000,3166,3000,2800,3580,3166,3000,2800,3580
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme) Cum Laude and above,168,87.5,81.3,3331,3215,3545,3590,3000,3955,3545,3590,3000,3955
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) #,169,97.8,95.6,4932,4800,5332,5025,4600,5950,5332,5025,4600,5950
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) Cum Laude and above #,170,97.7,97.7,5089,4900,5571,5800,4800,6000,5571,5800,4800,6000
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,171,100,86.7,2490,2700,2490,2700,2575,2800,2490,2700,2575,2800
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,172,90.6,84.4,2586,2600,2603,2600,2300,2885,2603,2600,2300,2885
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,173,100,100,2932,2875,2955,2975,2800,3075,2955,2975,2800,3075
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,174,100,100,2859,3000,2910,3000,2700,3300,2910,3000,2700,3300
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,175,89.1,78.3,2547,2500,2595,2500,2400,2800,2595,2500,2400,2800
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,176,93.9,90.9,2553,2500,2583,2500,2373,2800,2583,2500,2373,2800
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,177,90.1,84.5,3041,3000,3325,3300,3000,3650,3325,3300,3000,3650
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,178,92.6,88.9,3208,3100,3334,3260,3003,3594,3334,3260,3003,3594
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,179,97.1,85.7,3196,3000,3273,3100,3000,3338,3273,3100,3000,3338
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,180,100,94.1,3293,3355,3467,3500,3233,3675,3467,3500,3233,3675
